Car,price,details,post_date,mileage,enginetype,city,year,car,engine
"Kia Rio, 1.4 լ, 2010 թ., գազ","$2,700 ","Աշտարակ, 2010 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 300,000 կ",Բենզին,Աշտարակ,2010 ,Kia Rio,1.4 
"Mazda 3, 2.5 լ, 2021 թ.","$22,000 ","Կենտրոն, 2021 թ., 30,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 30,000 կ",Բենզին,Կենտրոն,2021 ,Mazda 3,2.5 
"Volkswagen Touareg, 4.2 լ, լիաքարշ, 2004 թ.","$8,000 ","Նոր Գյուղ, 2004 թ., 227,900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 227,900 կ",Բենզին,Նոր Գյուղ,2004 ,Volkswagen Touareg,4.2 
"Kia Forte, 2.0 լ, 2020 թ., գազ","$18,500 ","Աջափնյակ, 2020 թ., 61,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 61,000 մղո",Բենզին,Աջափնյակ,2020 ,Kia Forte,2.0 
"Mazda 6, 2.5 լ, 2015 թ.","$12,900 ","Նորք Մարաշ, 2015 թ., 120,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 120,000 մղո",Բենզին,Նորք Մարաշ,2015 ,Mazda 6,2.5 
"Lexus LX, 5.7 լ, լիաքարշ, 2008 թ., գազ","$45,000 ","Աջափնյակ, 2008 թ., 146,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 146,000 կ",Բենզին,Աջափնյակ,2008 ,Lexus LX,5.7 
"Mercedes-Benz B-Class հետչբեք, 1.7 լ, 2005 թ.","$7,300 ","Մալաթիա Սեբաստիա, 2005 թ., 119,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",ա Սեբաստի,2005 ,Մալա,,Mercedes-Benz B-Class հետչբեք,1.7 
"Suzuki SX4 հետչբեք, 1.5 լ, 2008 թ.","$6,000 ","Մալաթիա Սեբաստիա, 2008 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",ա Սեբաստի,2008 ,Մալա,,Suzuki SX4 հետչբեք,1.5 
"Opel Vectra, 2.0 լ, 1998 թ., գազ","800,000 ֏ ","Էջմիածին, 1998 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 200,000 կ",Բենզին,Էջմիածին,1998 ,Opel Vectra,2.0 
"BMW 5 Series, 3.0 լ, 2005 թ., գազ","3,550,000 ֏ ","Աշտարակ, 2005 թ., 240,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 240,000 կ",Բենզին,Աշտարակ,2005 ,BMW 5 Series,3.0 
"Mercedes-Benz C-Class, 2.2 լ, 1995 թ., գազ","$7,500 ","Արտաշատ, 1995 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 260,000 կ",Բենզին,Արտաշատ,1995 ,Mercedes-Benz C-Class,2.2 
"Mercedes-Benz CLK-Class կուպե, 2.3 լ, 2000 թ.","$6,500 ","Նոր Նորք, 2000 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 300,000 կ",Բենզին,Նոր Նորք,2000 ,Mercedes-Benz CLK-Class կուպե,2.3 
"Opel Vectra, 2.0 լ, 1994 թ., գազ","800,000 ֏ ","Արտաշատ, 1994 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 300,000 կ",Բենզին,Արտաշատ,1994 ,Opel Vectra,2.0 
"Chevrolet Malibu, 1.5 լ, 2017 թ.","$13,500 ","Աբովյան, 2017 թ., 164,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53",", 164,000 կ",Բենզին,Աբովյան,2017 ,Chevrolet Malibu,1.5 
"Opel Vectra, 1.6 լ, 1998 թ., գազ","$2,500 ","Էջմիածին, 1998 թ., 632,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 632,000 կ",Բենզին,Էջմիածին,1998 ,Opel Vectra,1.6 
"BMW X3, 2.0 լ, լիաքարշ, 2016 թ.","$24,000 Շտապ!Դիլեր","Մալաթիա Սեբաստիա, 2016 թ., 128,425 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",ա Սեբաստի,2016 ,Մալա,,BMW X3,2.0 
"Ford Transit, 2.4 լ, դիզել, 2001 թ.","$10,000 ","Աշտարակ, 2001 թ., 260,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 260,000 կ",Դիզել,Աշտարակ,2001 ,Ford Transit,2.4 
"Jeep Compass, 2.4 լ, լիաքարշ, 2017 թ.","$16,000 ","Ոսկեվազ, 2017 թ., 59,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 59,000 մղո",Բենզին,Ոսկեվազ,2017 ,Jeep Compass,2.4 
"BMW X2, 2.0 լ, լիաքարշ, 2020 թ.","$38,900 Դիլեր","Մալաթիա Սեբաստիա, 2020 թ., 39,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",ա Սեբաստի,2020 ,Մալա,,BMW X2,2.0 
"Mazda CX-5, 2.5 լ, լիաքարշ, 2018 թ.","$25,000 Դիլեր","Ռուսաստան, 2018 թ., 73,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 73,000 կ",Բենզին,Ռուսաստան,2018 ,Mazda CX-5,2.5 
"Acura RDX, 2.0 լ, լիաքարշ, 2021 թ.","$42,000 Դիլեր","Էջմիածին, 2021 թ., 18,900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 18,900 կ",Բենզին,Էջմիածին,2021 ,Acura RDX,2.0 
"Mazda 3, 2.5 լ, 2019 թ.","$23,700 ","Աջափնյակ, 2019 թ., 59,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 59,000 կ",Բենզին,Աջափնյակ,2019 ,Mazda 3,2.5 
"Nissan Xterra, 4.0 լ, լիաքարշ, 2006 թ., գազ","$10,000 ","Արտաշատ, 2006 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 200,000 կ",Բենզին,Արտաշատ,2006 ,Nissan Xterra,4.0 
"Nissan Altima, 2.5 լ, 2017 թ., գազ","$16,800 ","Կենտրոն, 2017 թ., 89,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 89,000 մղո",Բենզին,Կենտրոն,2017 ,Nissan Altima,2.5 
"Tesla Model S, էլեկտրական, 2013 թ.","$33,000 ","Նոր Նորք, 2013 թ., 130,000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 130,000 կ",էլեկտրական,Նոր Նորք,2013 ,Tesla Model S,էլեկտրական
"Hyundai Sonata, 2.4 լ, 2009 թ., գազ","$8,000 ","Քանաքեռ Զեյթուն, 2009 թ., 112,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",ւ,2009 ,Քանաքեռ Զեյ,,Hyundai Sonata,2.4 
"Hyundai Sonata, 2.4 լ, 2019 թ.","$16,300 ","Կենտրոն, 2019 թ., 34,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:52",", 34,000 մղո",Բենզին,Կենտրոն,2019 ,Hyundai Sonata,2.4 
"Mazda 6, 1.8 լ, 2010 թ., գազ","$8,000 ","Քանաքեռ Զեյթուն, 2010 թ., 130,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",ւ,2010 ,Քանաքեռ Զեյ,,Mazda 6,1.8 
"Hyundai Sonata, 2.4 լ, 2017 թ.","$13,500 ","Կենտրոն, 2017 թ., 67,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 67,000 մղո",Բենզին,Կենտրոն,2017 ,Hyundai Sonata,2.4 
"Dodge Charger, 3.6 լ, 2017 թ.","$22,000 ","Կենտրոն, 2017 թ., 105,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 105,000 կ",Բենզին,Կենտրոն,2017 ,Dodge Charger,3.6 
"Hyundai Sonata, 2.4 լ, 2019 թ.","$14,900 ","Նոր Նորք, 2019 թ., 61,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 61,000 մղո",Բենզին,Նոր Նորք,2019 ,Hyundai Sonata,2.4 
"VAZ (Lada) 2107, 1.6 լ, 2010 թ., գազ","$5,300 ","Արտաշատ, 2010 թ., 48,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 48,000 կ",Բենզին,Արտաշատ,2010 ,VAZ (Lada) 2107,1.6 
"Nissan Altima, 2.5 լ, 2006 թ., գազ","$5,700 ","Ավան, 2006 թ., 145,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 145,000 կ",Բենզին,Ավան,2006 ,Nissan Altima,2.5 
"Mitsubishi Pajero IO, 1.8 լ, լիաքարշ, 1999 թ., գազ","$3,200 ","Վանաձոր, 1999 թ., 318,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 318,000 կ",Բենզին,Վանաձոր,1999 ,Mitsubishi Pajero IO,1.8 
"Dodge Challenger կուպե, 3.6 լ, 2023 թ.","$34,000 ","Շենգավիթ, 2023 թ., 3800 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51", 2023 ,,Շենգավի,,Dodge Challenger կուպե,3.6 
"Toyota Camry, 2.5 լ, 2021 թ.","$25,600 ","Շենգավիթ, 2021 թ., 38,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51", 2021 ,,Շենգավի,,Toyota Camry,2.5 
"Mazda 3, 2.5 լ, 2011 թ.","$9,000 ","Աբովյան, 2011 թ., 140,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 140,000 մղո",Բենզին,Աբովյան,2011 ,Mazda 3,2.5 
"Lexus RX, 3.5 լ, հիբրիդ, լիաքարշ, 2022 թ.","$90,000 ","Աբովյան, 2022 թ., 341 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 341 կ",Հիբրիդ,Աբովյան,2022 ,Lexus RX,3.5 
"VAZ (Lada) 2107, 1.7 լ, 2011 թ., գազ","$3,400 ","Արտաշատ, 2011 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 150,000 կ",Բենզին,Արտաշատ,2011 ,VAZ (Lada) 2107,1.7 
"Infiniti QX4, 3.5 լ, լիաքարշ, 2002 թ., գազ","3,500,000 ֏ ","Դավիթաշեն, 2002 թ., 234,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",շե,2002 ,Դավի,,Infiniti QX4,3.5 
"Mercedes-Benz B-Class հետչբեք, 2.0 լ, 2006 թ.","$8,500 ","Արաբկիր, 2006 թ., 126,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 126,000 կ",Բենզին,Արաբկիր,2006 ,Mercedes-Benz B-Class հետչբեք,2.0 
"Lexus RX, 3.5 լ, լիաքարշ, 2013 թ.","$24,000 ","Աջափնյակ, 2013 թ., 77,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 77,000 մղո",Բենզին,Աջափնյակ,2013 ,Lexus RX,3.5 
"BMW 4 Series կուպե, 3.0 լ, 2022 թ.","$72,000 Դիլեր","Աջափնյակ, 2022 թ., 6000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 6000 կ",Բենզին,Աջափնյակ,2022 ,BMW 4 Series կուպե,3.0 
"Toyota C-HR, 2.0 լ, 2019 թ.","$20,500 Դիլեր","Աջափնյակ, 2019 թ., 49,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 49,000 կ",Բենզին,Աջափնյակ,2019 ,Toyota C-HR,2.0 
"MINI Cooper հետչբեք, 1.6 լ, 2012 թ.","$10,500 Դիլեր","Աջափնյակ, 2012 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 170,000 կ",Բենզին,Աջափնյակ,2012 ,MINI Cooper հետչբեք,1.6 
"Toyota Highlander, 3.5 լ, լիաքարշ, 2014 թ.","$30,000 Դիլեր","Աջափնյակ, 2014 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:51",", 250,000 կ",Բենզին,Աջափնյակ,2014 ,Toyota Highlander,3.5 
"Hyundai Sonata, 2.0 լ, հիբրիդ, 2015 թ., գազ","$12,300 ","Շենգավիթ, 2015 թ., 144,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:50", 2015 ,,Շենգավի,,Hyundai Sonata,2.0 
"Fiat 500 հետչբեք, 1.4 լ, 2018 թ.","$10,500 Դիլեր","Մալաթիա Սեբաստիա, 2018 թ., 58,500 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",ա Սեբաստի,2018 ,Մալա,,Fiat 500 հետչբեք,1.4 
"Mazda 3, 2.5 լ, 2023 թ.","$19,999 ","Արմավիր, 2023 թ., 5800 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 5800 կ",Բենզին,Արմավիր,2023 ,Mazda 3,2.5 
"BMW 5 Series, 2.0 լ, 2013 թ.","$11,000 ","Վրաստան, 2013 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 180,000 կ",Բենզին,Վրաստան,2013 ,BMW 5 Series,2.0 
"Mazda CX-9, 2.5 լ, լիաքարշ, 2022 թ.","$38,500 ","Ավան, 2022 թ., 4900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 4900 կ",Բենզին,Ավան,2022 ,Mazda CX-9,2.5 
"Nissan Primera, 1.8 լ, 1999 թ., գազ","$3,500 ","Սիսավան, 1999 թ., 285,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 285,000 կ",Բենզին,Սիսավան,1999 ,Nissan Primera,1.8 
"Kia Rio, 1.6 լ, 2012 թ.","$8,000 ","Ավան, 2012 թ., 87,907 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 87,907 մղո",Բենզին,Ավան,2012 ,Kia Rio,1.6 
"Volkswagen Golf հետչբեք, 1.8 լ, 1997 թ., գազ","$3,400 ","Գյումրի, 1997 թ., 157,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 157,000 կ",Բենզին,Գյումրի,1997 ,Volkswagen Golf հետչբեք,1.8 
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$5,000 ","Արաբկիր, 1998 թ., 168,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 168,000 կ",Բենզին,Արաբկիր,1998 ,Opel Astra հետչբեք,1.6 
"Ford Transit, դիզել, 1999 թ.","$3,500 ","Նոր Նորք, 1999 թ., 25,800 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 25,800 կ",Դիզել,Նոր Նորք,1999 ,Ford Transit,դիզե
"Mercedes-Benz CLS-Class, 5.0 լ, 2006 թ., գազ","$13,300 ","Նոր Նորք, 2006 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 290,000 կ",Բենզին,Նոր Նորք,2006 ,Mercedes-Benz CLS-Class,5.0 
"Nissan Tiida հետչբեք, 1.5 լ, 2005 թ., գազ","$6,000 ","Կենտրոն, 2005 թ., 155,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 155,000 կ",Բենզին,Կենտրոն,2005 ,Nissan Tiida հետչբեք,1.5 
"Toyota Camry, 2.5 լ, 2010 թ., գազ","$10,900 ","Կենտրոն, 2010 թ., 220,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 220,000 մղո",Բենզին,Կենտրոն,2010 ,Toyota Camry,2.5 
"BMW 7 Series, 4.4 լ, 2014 թ.","$14,000 ","Կենտրոն, 2014 թ., 140,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 140,000 կ",Բենզին,Կենտրոն,2014 ,BMW 7 Series,4.4 
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2005 թ., գազ","$7,500 ","Պռոշյան, 2005 թ., 163,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 163,000 կ",Բենզին,Պռոշյան,2005 ,Nissan X-Trail,2.0 
"GAZ (ГАЗ) 3110 Volga, 2.1 լ, 2003 թ., գազ","390,000 ֏ ","Սիսավան, 2003 թ., 128,388 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 128,388 կ",Բենզին,Սիսավան,2003 ,GAZ (ГАЗ) 3110 Volga,2.1 
"Ford Transit, 3.5 լ, հիբրիդ, լիաքարշ, 2001 թ., գազ","$5,900 Հնարավոր է փոխանակում","Արագած, 2001 թ., 223,700 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 223,700 կ",Հիբրիդ,Արագած,2001 ,Ford Transit,3.5 
"Mercedes-Benz E-Class, 3.2 լ, 2003 թ., գազ","$10,500 ","Էջմիածին, 2003 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 290,000 կ",Բենզին,Էջմիածին,2003 ,Mercedes-Benz E-Class,3.2 
"Opel Vectra, 1.8 լ, 1997 թ., գազ","200,000 ֏ Շտապ!Դիլեր","Էջմիածին, 1997 թ., 174,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 174,000 կ",Բենզին,Էջմիածին,1997 ,Opel Vectra,1.8 
"Opel Astra հետչբեք, 1.6 լ, 2000 թ., գազ","$5,000 ","Ավան, 2000 թ., 290,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:50",", 290,000 կ",Բենզին,Ավան,2000 ,Opel Astra հետչբեք,1.6 
"Opel Astra հետչբեք, 1.6 լ, 1998 թ., գազ","$5,000 ","Արաբկիր, 1998 թ., 168,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",", 168,000 կ",Բենզին,Արաբկիր,1998 ,Opel Astra հետչբեք,1.6 
"Toyota Camry, 2.5 լ, 2018 թ.","$21,000 ","Մալաթիա Սեբաստիա, 2018 թ., 81,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",ա Սեբաստի,2018 ,Մալա,,Toyota Camry,2.5 
"Toyota Ist հետչբեք, 1.5 լ, 2006 թ.","2,700,000 ֏ ","Կենտրոն, 2006 թ., 144,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",", 144,000 կ",Բենզին,Կենտրոն,2006 ,Toyota Ist հետչբեք,1.5 
"Lexus RX, 3.5 լ, լիաքարշ, 2021 թ.","24,000,000 ֏ ","Էջմիածին, 2021 թ., 18,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",", 18,000 կ",Բենզին,Էջմիածին,2021 ,Lexus RX,3.5 
"Kia Optima, 2.4 լ, 2017 թ.","$10,500 ","Մալաթիա Սեբաստիա, 2017 թ., 70,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",ա Սեբաստի,2017 ,Մալա,,Kia Optima,2.4 
"Hyundai Elantra, 2.0 լ, 2017 թ.","$12,500 ","Էջմիածին, 2017 թ., 101,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:49",", 101,000 մղո",Բենզին,Էջմիածին,2017 ,Hyundai Elantra,2.0 
"Mercedes-Benz CLK-Class կուպե, 2.0 լ, 1998 թ., գազ","$6,000 ","Ստեփանավան, 1998 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 300,000 կ",Բենզին,Ստեփանավան,1998 ,Mercedes-Benz CLK-Class կուպե,2.0 
"Honda Pilot, 3.5 լ, լիաքարշ, 2012 թ.","$16,000 Դիլեր","Քանաքեռ Զեյթուն, 2012 թ., 156,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",ւ,2012 ,Քանաքեռ Զեյ,,Honda Pilot,3.5 
"Nissan X-Trail, 2.0 լ, լիաքարշ, 2001 թ., գազ","$5,700 ","Ավան, 2001 թ., 195,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 195,000 կ",Բենզին,Ավան,2001 ,Nissan X-Trail,2.0 
"Tesla Model 3, էլեկտրական, լիաքարշ, 2020 թ.","$40,500 Դիլեր","Ռուսաստան, 2020 թ., 8000 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 8000 կ",էլեկտրական,Ռուսաստան,2020 ,Tesla Model 3,էլեկտրական
"Opel Vectra, 1.8 լ, 2001 թ., գազ","$4,200 ","Վանաձոր, 2001 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 230,000 կ",Բենզին,Վանաձոր,2001 ,Opel Vectra,1.8 
"Honda Pilot, 3.5 լ, լիաքարշ, 2022 թ.","$27,500 Դիլեր","Ավան, 2022 թ., 3203 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 3203 մղո",Բենզին,Ավան,2022 ,Honda Pilot,3.5 
"Opel Astra, 1.6 լ, 1998 թ., գազ","$4,300 ","Աշտարակ, 1998 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 250,000 կ",Բենզին,Աշտարակ,1998 ,Opel Astra,1.6 
"Volkswagen Golf հետչբեք, 1.6 լ, 1997 թ., գազ","$2,500 ","Լուսառատ, 1997 թ., 114,061 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 114,061 կ",Բենզին,Լուսառատ,1997 ,Volkswagen Golf հետչբեք,1.6 
"VAZ (Lada) 2110, 1.6 լ, 2005 թ., գազ","$3,500 ","Ծակքար, 2005 թ., 250,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 250,000 կ",Բենզին,Ծակքար,2005 ,VAZ (Lada) 2110,1.6 
"Nissan Sentra, 1.8 լ, 2018 թ.","$12,700 ","Աշտարակ, 2018 թ., 37,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 37,000 մղո",Բենզին,Աշտարակ,2018 ,Nissan Sentra,1.8 
"Volkswagen Golf հետչբեք, 1.8 լ, 1995 թ., գազ","1,100,000 ֏ ","Դիլիջան, 1995 թ., 280,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 280,000 կ",Բենզին,Դիլիջան,1995 ,Volkswagen Golf հետչբեք,1.8 
"Hyundai Elantra, 1.8 լ, 2011 թ., գազ","$8,900 ","Շենգավիթ, 2011 թ., 144,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48", 2011 ,,Շենգավի,,Hyundai Elantra,1.8 
"VAZ (Lada) 2104 ունիվերսալ, 1.7 լ, 2012 թ.","500,000 ₽ ","Ալավերդի, 2012 թ., 78,700 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:48",", 78,700 կ",Բենզին,Ալավերդի,2012 ,VAZ (Lada) 2104 ունիվերսա,
"Mercedes-Benz E-Class AMG, 3.0 լ, 2007 թ., գազ","$11,500 ","Աջափնյակ, 2007 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 200,000 կ",Բենզին,Աջափնյակ,2007 ,Mercedes-Benz E-Class AMG,3.0 
"Ford Focus հետչբեք, 2.0 լ, 2018 թ.","$9,000 ","Կենտրոն, 2018 թ., 142,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 142,000 կ",Բենզին,Կենտրոն,2018 ,Ford Focus հետչբեք,2.0 
"Hyundai Elantra, 2.0 լ, 2019 թ., գազ","$17,000 ","Աբովյան, 2019 թ., 52,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 52,000 մղո",Բենզին,Աբովյան,2019 ,Hyundai Elantra,2.0 
"Nissan Sentra, 1.8 լ, 2017 թ., գազ","$11,900 ","Կենտրոն, 2017 թ., 115,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 115,000 կ",Բենզին,Կենտրոն,2017 ,Nissan Sentra,1.8 
"BYD F3, 1.5 լ, 2011 թ., գազ","$2,500 ","Կենտրոն, 2011 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 400,000 կ",Բենզին,Կենտրոն,2011 ,BYD F3,1.5 
"Hyundai Tucson, 2.4 լ, 2019 թ.","$28,000 ","Աբովյան, 2019 թ., 70,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 70,000 կ",Բենզին,Աբովյան,2019 ,Hyundai Tucson,2.4 
"Toyota Camry, 2.5 լ, 2009 թ., գազ","$12,700 ","Մալաթիա Սեբաստիա, 2009 թ., 166,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",ա Սեբաստի,2009 ,Մալա,,Toyota Camry,2.5 
"Mercedes-Benz E-Class, 3.2 լ, 2000 թ., գազ","$11,500 ","Արթիկ, 2000 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",,2000 ,Ար,,Mercedes-Benz E-Class,3.2 
"Chevrolet Volt հետչբեք, 1.5 լ, հիբրիդ, 2017 թ.","$17,500 ","Աջափնյակ, 2017 թ., 140,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 140,000 կ",Հիբրիդ,Աջափնյակ,2017 ,Chevrolet Volt հետչբեք,1.5 
"Chevrolet Volt հետչբեք, 1.5 լ, հիբրիդ, 2016 թ.","$12,500 Դիլեր","Գորիս, 2016 թ., 150,000 կմ, Հիբրիդ","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 150,000 կ",Հիբրիդ,Գորիս,2016 ,Chevrolet Volt հետչբեք,1.5 
"Honda CR-V, 2.4 լ, լիաքարշ, 2010 թ., գազ","$13,500 ","Աջափնյակ, 2010 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 135,000 կ",Բենզին,Աջափնյակ,2010 ,Honda CR-V,2.4 
"Mercedes-Benz A-Class հետչբեք, 2.0 լ, 2005 թ.","$5,500 ","Արտաշատ, 2005 թ., 123,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 123,000 կ",Բենզին,Արտաշատ,2005 ,Mercedes-Benz A-Class հետչբեք,2.0 
"Toyota Corolla, 1.8 լ, 2009 թ., գազ","$11,500 ","Կենտրոն, 2009 թ., 165,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:47",", 165,000 մղո",Բենզին,Կենտրոն,2009 ,Toyota Corolla,1.8 
