Car,price,details,post_date
"BMW X5, 3.0 լ, լիաքարշ, 2008 թ., գազ","$13,100 ","Գյումրի, 2008 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Nissan Rogue, 2.5 լ, 2019 թ.","$14,500 ","Եղվարդ, 2019 թ., 70,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Mercedes-Benz S-Class, 5.0 լ, 2007 թ., գազ","$12,500 ","Գյումրի, 2007 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Hyundai Kona, 2.0 լ, 2019 թ.","$15,500 ","Արաբկիր, 2019 թ., 60,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Nissan Kicks, 1.6 լ, 2021 թ.","$14,990 Դիլեր","Նոր Նորք, 2021 թ., 23,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Ford Fusion (North America), 2.5 լ, 2017 թ., գազ","$15,800 ","Էրեբունի, 2017 թ., 117,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Honda CR-V, 2.4 լ, լիաքարշ, 2014 թ., գազ","$20,000 ","Նոր Նորք, 2014 թ., 72,200 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Opel Astra, 1.6 լ, 1998 թ., գազ","$3,700 ","Արտաշատ, 1998 թ., 270,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"BMW 7 Series, 5.0 լ, 2011 թ.","$13,000 ","Աջափնյակ, 2011 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Nissan Teana, 2.3 լ, 2003 թ., գազ","$5,300 ","Աբովյան, 2003 թ., 193,600 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Mercedes-Benz Vito, 2.3 լ, 2000 թ., գազ","$10,300 ","Հովտաշատ, 2000 թ., 113,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Mercedes-Benz E-Class, 3.5 լ, լիաքարշ, 2008 թ.","$12,500 ","Հովտաշատ, 2008 թ., 350,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Honda CR-V, 1.5 լ, լիաքարշ, 2019 թ.","$29,500 ","Նորք Մարաշ, 2019 թ., 43,800 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Volkswagen Tiguan, 2.0 լ, 2017 թ.","$16,500 ","Նոր Նորք, 2017 թ., 37,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"VAZ (Lada) Granta, 1.6 լ, 2023 թ., 2023 թ.","$12,700 ","Ծովակ, 2023 թ., 13,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2021 թ.","$32,000 ","Արաբկիր, 2021 թ., 23,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Toyota Corolla, 1.8 լ, 2016 թ.","$13,500 Դիլեր","Կենտրոն, 2016 թ., 80,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2019 թ.","$25,000 ","Կենտրոն, 2019 թ., 41,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Ford Fusion (North America), 2.5 լ, 2017 թ.","$16,500 Դիլեր","Կենտրոն, 2017 թ., 45,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"GAZ (ГАЗ), 2.4 լ, 1964 թ., գազ","$7,000 ","Մալաթիա Սեբաստիա, 1964 թ., 190,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:30"
"Hyundai Elantra, 2.0 լ, 2019 թ.","$14,200 ","Կենտրոն, 2019 թ., 31,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"BMW X6, 4.4 լ, լիաքարշ, 2010 թ.","$21,500 ","Կենտրոն, 2010 թ., 209,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Mercedes-Benz C-Class, 3.0 լ, լիաքարշ, 2016 թ.","$29,500 ","Աջափնյակ, 2016 թ., 100,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Mercedes-Benz C-Class, 2.4 լ, 2006 թ., գազ","$8,200 ","Նոր Նորք, 2006 թ., 355,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Mazda Atenza, 2.3 լ, 2002 թ., գազ","$4,700 ","Էրեբունի, 2002 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Ford Edge, 3.5 լ, լիաքարշ, 2009 թ., գազ","$8,200 ","Էջմիածին, 2009 թ., 210,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Subaru Outback ունիվերսալ, 2.5 լ, լիաքարշ, 2013 թ.","$12,500 ","Ավան, 2013 թ., 120,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Chevrolet Volt հետչբեք, 1.4 լ, հիբրիդ, 2014 թ.","$12,000 ","Դավիթաշեն, 2014 թ., 222,000 կմ, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2020 թ.","$25,000 ","Թաիրով, 2020 թ., 100,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Toyota RAV4, 2.5 լ, 2014 թ.","$16,500 ","Մասիս, 2014 թ., 110,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Lexus ES, 2.5 լ, 2016 թ.","$28,000 ","Մալաթիա Սեբաստիա, 2016 թ., 140,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:29"
"Mercedes-Benz S-Class, 4.2 լ, 1998 թ., գազ","$11,000 Դիլեր","Քանաքեռ Զեյթուն, 1998 թ., 250,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"BMW 7 Series, 2.0 լ, հիբրիդ, լիաքարշ, 2017 թ.","$43,000 ","Արաբկիր, 2017 թ., 41,000 կմ, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Nissan Leaf հետչբեք, էլեկտրական, 2011 թ.","$5,500 ","Ստեփանավան, 2011 թ., 98,000 կմ, էլեկտրական","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Land Rover Range Rover, 4.4 լ, լիաքարշ, 2006 թ., գազ","$13,500 Դիլեր","Քանաքեռ Զեյթուն, 2006 թ., 250,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Hyundai Accent, 1.6 լ, 2013 թ.","$7,300 ","Մալաթիա Սեբաստիա, 2013 թ., 165,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Opel Zafira, 2.2 լ, 2000 թ., գազ","$4,900 Դիլեր","Քանաքեռ Զեյթուն, 2000 թ., 170,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2020 թ.","$25,000 ","Էրեբունի, 2020 թ., 15,900 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Audi A8, 4.2 լ, լիաքարշ, 2006 թ.","1,000,000 ֏ Դիլեր","Քանաքեռ Զեյթուն, 2006 թ., 120,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Kia Forte, 2.0 լ, 2019 թ., գազ","$15,800 ","Մալաթիա Սեբաստիա, 2019 թ., 63,800 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"VAZ (Lada) 2121 (4x4), 1.7 լ, լիաքարշ, 2020 թ.","$8,500 ","Մալաթիա Սեբաստիա, 2020 թ., 89,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Toyota Camry, 2.5 լ, 2014 թ., գազ","$13,900 ","Մալաթիա Սեբաստիա, 2014 թ., 160,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Lexus RX, 3.5 լ, 2020 թ.","$39,900 Աննախադեպ գին","Մալաթիա Սեբաստիա, 2020 թ., 75,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Lexus GX460, 4.6 լ, լիաքարշ, 2019 թ.","$57,000 ","Մալաթիա Սեբաստիա, 2019 թ., 30,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"BMW X5, 4.6 լ, լիաքարշ, 2003 թ., գազ","$11,000 ","Էրեբունի, 2003 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Lexus GX460, 4.6 լ, լիաքարշ, 2022 թ.","$78,000 Շտապ","Մալաթիա Սեբաստիա, 2022 թ., 8000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:28"
"Cadillac XTS, 3.6 լ, 2016 թ.","$30,000 ","Էրեբունի, 2016 թ., 89,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Lexus RX, 3.5 լ, հիբրիդ, լիաքարշ, 2020 թ.","$58,800 ","Գյումրի, 2020 թ., 15,300 մղոն, Հիբրիդ","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Lexus RX, 3.5 լ, լիաքարշ, 2021 թ.","$68,800 ","Գյումրի, 2021 թ., 4900 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Lexus RX, 3.5 լ, լիաքարշ, 2020 թ.","$58,800 ","Գյումրի, 2020 թ., 7333 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Honda Accord, 1.5 լ, 2019 թ.","$20,500 ","Աշտարակ, 2019 թ., 40,000 մղոն, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Chrysler 300C, 2.7 լ, 2008 թ., գազ","$10,000 ","Մալաթիա Սեբաստիա, 2008 թ., 222,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Volkswagen Passat, 1.8 լ, 2001 թ., գազ","$3,700 ","Դավիթաշեն, 2001 թ., 280,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Mercedes-Benz C-Class, 3.0 լ, 2006 թ.","$7,700 ","Արտաշատ, 2006 թ., 328,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:27"
"Mercedes-Benz E-Class, 2.6 լ, 2002 թ.","$12,000 ","Արտաշատ, 2002 թ., 130,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:26"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$3,300 ","Արտաշատ, 1999 թ., 450,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:26"
"Ford Fusion (North America), 2.5 լ, 2019 թ.","$14,500 ","Մերձավան, 2019 թ., 170,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:26"
"Ford Transit, 2.5 լ, դիզել, 1999 թ.","$5,800 ","Գեղանիստ, 1999 թ., 200,000 կմ, Դիզել","Երեքշաբթի, Ապրիլ 16, 2024 13:26"
"Mercedes-Benz 230, 2.3 լ, 1995 թ., գազ","$3,300 ","Աջափնյակ, 1995 թ., 360,000 կմ, Բենզին","Երեքշաբթի, Ապրիլ 16, 2024 13:26"
"Hyundai Sonata, 2.4 լ, 2018 թ.","$13,460 ","Կենտրոն, 2018 թ., 50,135 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"Toyota Corolla, 1.8 լ, 2017 թ., գազ","$13,800 ","Դավիթաշեն, 2017 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"VAZ (Lada) 2106, 1.5 լ, 1991 թ., գազ","700,000 ֏ ","Էջմիածին, 1991 թ., 15,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"BMW 3 Series, 2.0 լ, 2018 թ.","$21,000 ","Նոր Նորք, 2018 թ., 70,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"BMW 3 Series, 2.0 լ, 2022 թ.","$47,200 ","Շենգավիթ, 2022 թ., 9000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"Toyota Harrier, 3.0 լ, 2004 թ., գազ","$12,000 ","Արաբկիր, 2004 թ., 245,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 23:00"
"Kia Rio, 1.6 լ, 2020 թ.","$13,000 ","Դավիթաշեն, 2020 թ., 5000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"UAZ (УАЗ) 469, 2.4 լ, լիաքարշ, 1982 թ., գազ","$4,000 Հնարավոր է փոխանակում","Սիսիան, 1982 թ., 26,800 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"GAZ (ГАЗ) ГАЗель կուպե, 1.8 լ, 2010 թ., գազ","$12,000 ","Արգավանդ, 2010 թ., 10,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"Jeep Compass, 2.4 լ, 2019 թ., գազ","$19,500 ","Նոր Նորք, 2019 թ., 123,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"Mercedes-Benz B-Class հետչբեք, 1.7 լ, 2007 թ., գազ","$7,500 ","Նոր Նորք, 2007 թ., 102,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"Mercedes-Benz E-Class, 2.8 լ, 1998 թ., գազ","$5,800 ","Էջմիածին, 1998 թ., 291,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"Infiniti FX35, 3.5 լ, լիաքարշ, 2004 թ., գազ","$7,500 ","Ավան, 2004 թ., 190,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:59"
"Hyundai Sonata, 2.4 լ, 2011 թ., գազ","$8,500 ","Գյումրի, 2011 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Opel Astra կուպե, 1.6 լ, 1998 թ., գազ","$4,000 ","Քանաքեռ Զեյթուն, 1998 թ., 308,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Hyundai Sonata, 2.0 լ, 2011 թ., գազ","$8,800 ","Սպիտակ, 2011 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Mercedes-Benz E-Class, 2.0 լ, 1997 թ., գազ","$6,800 ","Էջմիածին, 1997 թ., 410,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"VAZ (Lada) 2107, 1.7 լ, 2010 թ.","$3,000 ","Էջմիածին, 2010 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Infiniti FX35, 3.5 լ, լիաքարշ, 2010 թ., գազ","$12,500 ","Կենտրոն, 2010 թ., 111,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"VAZ (Lada) 2107, 1.6 լ, 1989 թ.","$2,500 ","Գավառ, 1989 թ., 14,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Kia Forte, 1.8 լ, 2016 թ.","$10,000 ","Աջափնյակ, 2016 թ., 98,400 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Nissan Rogue Sport, 2.0 լ, լիաքարշ, 2022 թ.","$26,400 ","Աջափնյակ, 2022 թ., 552 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"VAZ (Lada) 2112 հետչբեք, 1.6 լ, 2005 թ., գազ","1,000,000 ֏ ","Արագյուղ, 2005 թ., 193,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"Mercedes-Benz E-Class, 3.2 լ, 2004 թ., գազ","$12,500 ","Վանաձոր, 2004 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:58"
"BMW X5, 3.0 լ, լիաքարշ, 2007 թ., գազ","$13,300 ","Աբովյան, 2007 թ., 277,700 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"Nissan Navara փիքափ, 2.5 լ, 2008 թ., գազ","$12,900 ","Աբովյան, 2008 թ., 310,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"Mazda CX-5, 2.5 լ, 2021 թ.","$29,900 ","Նոր Նորք, 2021 թ., 32,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"Hyundai Elantra հետչբեք, 2.0 լ, 2017 թ.","$13,900 ","Դավիթաշեն, 2017 թ., 55,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2013 թ., գազ","$8,800 ","Նոր Գյուղ, 2013 թ., 122,877 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"Porsche Cayenne, 4.8 լ, լիաքարշ, 2008 թ.","$14,000 ","Դավիթաշեն, 2008 թ., 130,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:57"
"Opel Astra հետչբեք, 2.0 լ, 1998 թ., գազ","$5,900 ","Աջափնյակ, 1998 թ., 137,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"BMW 5 Series, 4.4 լ, 2011 թ.","$11,000 ","Մալաթիա Սեբաստիա, 2011 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"VAZ (Lada) 2107, 1.7 լ, 2009 թ., գազ","$3,200 ","Սևան, 2009 թ., 13,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Nissan Sentra, 2.0 լ, 2020 թ.","$20,300 ","Կենտրոն, 2020 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Nissan Note հետչբեք, 1.5 լ, 2008 թ., գազ","$4,999 ","Քանաքեռ Զեյթուն, 2008 թ., 267,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Renault Kangoo, 1.4 լ, 1999 թ., գազ","$3,300 ","Քանաքեռ Զեյթուն, 1999 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Toyota RAV4, 2.0 լ, 2015 թ.","$20,300 ","Դավիթաշեն, 2015 թ., 96,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Toyota Camry, 3.5 լ, 2020 թ.","$36,800 ","Նոր Նորք, 2020 թ., 29,400 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"VAZ (Lada) Priora հետչբեք, 1.6 լ, 2011 թ.","$4,600 ","Նոր Նորք, 2011 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Nissan Tiida հետչբեք, 1.5 լ, 2008 թ., գազ","$5,000 ","Շենգավիթ, 2008 թ., 20,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2007 թ.","$6,150 ","Էջմիածին, 2007 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"BMW 3 Series, 1.9 լ, 2002 թ., գազ","$6,500 ","Արմավիր, 2002 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:56"
"Mazda 6, 2.5 լ, 2018 թ.","$22,500 ","Արմավիր, 2018 թ., 60,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:55"
"VAZ (Lada) 2107, 1.7 լ, 2004 թ., գազ","$3,500 Դիլեր","Սպիտակ, 2004 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:55"
"Mercedes-Benz C-Class կուպե, 2.0 լ, 2017 թ.","$30,500 Թեժ առաջարկ","Կենտրոն, 2017 թ., 77,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:55"
"Kia Sportage, 2.4 լ, լիաքարշ, 2017 թ.","$18,000 ","Էրեբունի, 2017 թ., 89,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:55"
"Toyota Corolla, 2.0 լ, 2021 թ.","$24,000 ","Կենտրոն, 2021 թ., 40,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:55"
"UAZ (УАЗ) 452, 2.7 լ, լիաքարշ, 2000 թ., գազ","$4,500 Դիլեր","Ավան, 2000 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mercedes-Benz C-Class, 2.0 լ, 2001 թ., գազ","$5,800 ","Վանաձոր, 2001 թ., 280,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Cadillac XTS, 3.6 լ, 2020 թ.","$46,500 ","Կենտրոն, 2020 թ., 103,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Fiat Doblo, 1.9 լ, դիզել, 2002 թ.","$3,500 Դիլեր","Մալաթիա Սեբաստիա, 2002 թ., 300,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Dodge Journey, 2.4 լ, 2019 թ.","$16,200 Դիլեր","Մալաթիա Սեբաստիա, 2019 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Opel Astra հետչբեք, 1.4 լ, 1992 թ.","$3,000 Գնիր ինձ","Քանաքեռ Զեյթուն, 1992 թ., 210,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mazda CX-3, 2.0 լ, լիաքարշ, 2019 թ.","$19,000 ","Շենգավիթ, 2019 թ., 36,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mercedes-Benz E-Class, 3.2 լ, 2004 թ., գազ","$11,500 ","Եղեգնաձոր, 2004 թ., 240,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Volkswagen Jetta, 2.0 լ, 2003 թ.","$6,000 ","Էրեբունի, 2003 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Toyota Camry, 2.5 լ, լիաքարշ, 2021 թ.","$32,000 ","Արգավանդ, 2021 թ., 26,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"VAZ (Lada) 2107, 1.5 լ, 1989 թ., գազ","$3,000 ","Արտաշատ, 1989 թ., 81,003 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"GAZ (ГАЗ) ГАЗель, 2.4 լ, 2010 թ., գազ","$5,300 ","Էջմիածին, 2010 թ., 198,800 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"VAZ (Lada) 2107, 1.6 լ, 2011 թ.","$4,100 ","Էջմիածին, 2011 թ., 68,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mazda CX-5, 2.5 լ, 2021 թ.","$24,990 Դիլեր","Ավան, 2021 թ., 32,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Kia Cerato, 1.6 լ, 2012 թ., գազ","$6,700 ","Մալաթիա Սեբաստիա, 2012 թ., 284,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Opel Astra, 1.6 լ, 2003 թ., գազ","$3,500 ","Ծաղկահովիտ, 2003 թ., 30,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Nissan Fuga, 3.5 լ, 2007 թ., գազ","$9,450 ","Նոր Նորք, 2007 թ., 162,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mazda 6, 2.5 լ, 2011 թ.","3,700,000 ֏ ","Ավան, 2011 թ., 91,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Mercedes-Benz E-Class, 2.6 լ, 2005 թ., գազ, 2005 թ.","$9,000 ","Արաբկիր, 2005 թ., 147,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Nissan Tiida, 1.5 լ, 2009 թ., գազ","$7,000 ","Քասախ, 2009 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:54"
"Kia Rio, 1.5 լ, 2008 թ., գազ","400,000 ֏ ","Քասախ, 2008 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mercedes-Benz S-Class, 5.0 լ, 2010 թ., գազ","$23,000 ","Արաբկիր, 2010 թ., 130,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mitsubishi Outlander Sport, 2.0 լ, լիաքարշ, 2019 թ.","$22,000 ","Աջափնյակ, 2019 թ., 36,500 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Nissan Tiida հետչբեք, 1.5 լ, 2007 թ., գազ","$8,000 ","Էջմիածին, 2007 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Kia Rio, 1.4 լ, 2010 թ., գազ","$2,700 ","Աշտարակ, 2010 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mazda 3, 2.5 լ, 2021 թ.","$22,000 ","Կենտրոն, 2021 թ., 30,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Volkswagen Touareg, 4.2 լ, լիաքարշ, 2004 թ.","$8,000 ","Նոր Գյուղ, 2004 թ., 227,900 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Kia Forte, 2.0 լ, 2020 թ., գազ","$18,500 ","Աջափնյակ, 2020 թ., 61,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mazda 6, 2.5 լ, 2015 թ.","$12,900 ","Նորք Մարաշ, 2015 թ., 120,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Lexus LX, 5.7 լ, լիաքարշ, 2008 թ., գազ","$45,000 ","Աջափնյակ, 2008 թ., 146,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Mercedes-Benz B-Class հետչբեք, 1.7 լ, 2005 թ.","$7,300 ","Մալաթիա Սեբաստիա, 2005 թ., 119,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Suzuki SX4 հետչբեք, 1.5 լ, 2008 թ.","$6,000 ","Մալաթիա Սեբաստիա, 2008 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
"Opel Vectra, 2.0 լ, 1998 թ., գազ","800,000 ֏ ","Էջմիածին, 1998 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 22:53"
